Fats Waller,Handful of Keys,2004,Jazz
King Oliver,King Oliver’s Creole Jazz Band: The Complete Set,1997,Jazz
Louis Armstrong,The Complete Hot Five and Hot Seven Recordings,2006,Jazz
Louis Armstrong,The Complete RCA Victor Recordings,2001,Jazz
Louis Armstrong,Louis Armstrong Plays W. C. Handy,1954,Jazz
Fletcher Henderson,Tidal Wave,1994,Jazz
Bessie Smith,The Essential Bessie Smith,1997,Jazz
Bix Beiderbecke,The Bix Beiderbecke Story,2000,Jazz
Django Reinhardt,The Classic Early Recordings in Chronological Order,2000,Jazz
Jelly Roll Morton,Jelly Roll Morton: 1926-1930,2000,Jazz
Sidney Bechet,The Sidney Bechet Story,2001,Jazz
Duke Ellington,The OKeh Ellington,1991,Jazz
Duke Ellington,Golden Greats,2002,Jazz
Duke Ellington,Never No Lament: The Blanton-Webster Band,2003,Jazz
Duke Ellington,Ellington at Newport 1956,1999,Jazz
Duke Ellington,Money Jungle,1962,Jazz
Coleman Hawkins,The Essential Sides Remastered,1929,Jazz
Coleman Hawkins,The Bebop Years,2001,Jazz
Billie Holiday,Lady Day: The Master Takes and Singles,2007,Jazz
Teddy Wilson,The Noble Art of Teddy Wilson,2002,Jazz
Lester Young,The Lester Young - Count Basie Sessions 1936-40,2008,Jazz
Lester Young,Kansas City Swing,2004,Jazz
Count Basie,The Complete Decca Recordings,1992,Jazz
Count Basie,The Complete Atomic Basie,1994,Jazz
Benny Goodman,At Carnegie Hall—1938—Complete,1999,Jazz
John Kirby Sextet,Night Whispers: 1938-46,2005,Jazz
Chick Webb,Stomping at the Savoy,2006,Jazz
Charlie Christian,The Genius of the Electric Guitar,2005,Jazz
James P. Johnson,The Original James P. Johnson: 1942-1945 Piano Solos,1996,Jazz
The Nat King Cole Trio,The Best of the Nat King Cole Trio: The Vocal Classics,1942,Jazz
Charlie Parker,The Complete Savoy and Dial Sessions,2005,Jazz
Charlie Parker,Bird: The Complete Charlie Parker on Verve,1988,Jazz
Charlie Parker,Best of the Complete Live Performances on Savoy,2002,Jazz
Dizzy Gillespie,The Complete RCA Victor Recordings,1947,Jazz
Thelonious Monk,Genius of Modern Music  Vol. 1,1973,Jazz
Thelonious Monk,Live at the It Club,1964,Jazz
Thelonious Monk,Thelonious Monk with John Coltrane: The Complete 1957 Riverside Recordings,2006,Jazz
Miles Davis,The Complete Birth of the Cool,1998,Jazz
Miles Davis,Bags’ Groove,1954,Jazz
Miles Davis,Kind of Blue,1959,Jazz
Miles Davis,Highlights from the Plugged Nickel,1995,Jazz
Miles Davis,Bitches Brew,1969,Jazz
Bud Powell,The Amazing Bud Powell,1974,Jazz
Gerry Mulligan,The Original Quartet with Chet Baker,1998,Jazz
Modern Jazz Quartet,Django,1953,Jazz
Art Tatum,The Best of the Pablo Solo Masterpieces,2003,Jazz
Clifford Brown and Max Roach,Clifford Brown & Max Roach,1954,Jazz
Sarah Vaughan,Sarah Vaughan with Clifford Brown,1954,Jazz
Charles Mingus,Mingus at the Bohemia,1955,Jazz
Charles Mingus,Mingus Ah Um,1959,Jazz
Charles Mingus Sextet,Cornell 1964,2007,Jazz
Ella Fitzgerald,Ella Fitzgerald Sings the Cole Porter Songbook,1956,Jazz
Sonny Rollins,Saxophone Colossus,1956,Jazz
Sonny Rollins,Night at the Village Vanguard,1957,Jazz
Sonny Rollins and Coleman Hawkins,Sonny Meets Hawk!,1963,Jazz
Tito Puente,King of Kings: The Very Best of Tito Puente,2002,Jazz
Sun Ra,Greatest Hits—Easy Listening for Intergalactic Travel,2000,Jazz
Abbey Lincoln,That’s Him,1957,Jazz
Art Blakey and the Jazz Messengers,Moanin’,1958,Jazz
Ahmad Jamal Trio,Cross Country Tour: 1958-1961,1998,Jazz
The Dave Brubeck Quartet,Time Out,1959,Jazz
Jimmy Witherspoon,The ’Spoon Concerts,1989,Jazz
